Subject,图片路径,图片描述,图片来源,是否成功,Error
义顺集选区 Nee Soon GRC,/home/ubuntu/singapore_book/images/nee_soon_grc.jpg,这是新加坡义顺邮政局的旧址，代表了义顺集选区的历史风貌。,https://remembersingapore.org/2012/07/10/singapore-former-old-post-offices/,,
马西岭-油池集选区 Marsiling-Yew Tee GRC,/home/ubuntu/singapore_book/images/marsiling_yew_tee_grc.png,马西岭-油池集选区的住宅区和绿化环境。,https://www.myttc.org.sg/,,
杨厝港单选区 Yio Chu Kang SMC,/home/ubuntu/singapore_book/images/yio_chu_kang.jpg,这是新加坡杨厝港游泳综合体的建筑外观。,https://www.estate.sg/,true,
惹兰加由单选区 Jalan Kayu SMC,/home/ubuntu/singapore_book/images/jalan_kayu.jpg,惹兰加由单选区的城市景观，展示了高楼建筑和绿化带。,https://www.channelnewsasia.com,,
宏茂桥集选区 Ang Mo Kio GRC,/home/ubuntu/singapore_book/images/ang_mo_kio.jpg,宏茂桥集选区的一栋组屋，代表了新加坡的公共住房特色。,https://www.hdb.gov.sg/,,
盛港集选区 Sengkang GRC,/home/ubuntu/singapore_book/images/sengkang_grc.jpeg,盛港集选区的高层组屋住宅区。,https://www.channelnewsasia.com/news/singapore/sengkang-town-council-lower-rating-arrears-management-13970790,,
榜鹅集选区 Punggol GRC,/home/ubuntu/singapore_book/images/punggol_grc.jpg,榜鹅集选区的一栋组屋，展示了新加坡的公共住房特色。,https://www.schomburg.com,,
后港单选区 Hougang SMC,/home/ubuntu/singapore_book/images/hougang_smc.jpg,这张图片展示了新加坡后港单选区的一个现代组屋区，环境优美，绿化良好。,https://www.hdb.gov.sg,,
荷兰-武吉知马集选区 Holland-Bukit Timah GRC,/home/ubuntu/singapore_book/images/holland_bukit_timah_grc.jpg,一幅描绘了公园景观和组屋的插画，代表了荷兰-武吉知马集选区的社区生活。,https://www.hbptc.org.sg,true,
裕廊东-武吉巴督集选区 Jurong East-Bukit Batok GRC,/home/ubuntu/singapore_book/images/jurong_east_bukit_batok.jpeg,裕廊东-武吉巴督集选区的一个现代化建筑群，可能是组屋或公共设施。,https://www.ourneighbourhood.sg/stories/bukit-batok-east-s-five-year-masterplan-showcases-a-rejuvenated-estate,,
西海岸-裕廊西集选区 West Coast-Jurong West GRC,/home/ubuntu/singapore_book/images/west_coast_jurong_west_grc.jpg,这张图片展示了裕廊西的标志性建筑，双塔宝塔，它坐落在湖中，周围绿树环绕。,https://www.tripadvisor.in/Attractions-g294265-Activities-c47-zfn15622360-Singapore.html,,
蔡厝港集选区 Chua Chu Kang GRC,/home/ubuntu/singapore_book/images/chua_chu_kang_grc.jpg,蔡厝港市镇中心。,https://www.google.com/search?q=Choa+Chu+Kang+Town+Centre+Singapore,true,
武吉甘柏单选区 Bukit Gombak SMC,/home/ubuntu/singapore_book/images/bukit_gombak_smc.jpg,这是新加坡武吉甘柏邻里中心的标志牌，展示了该区域的特色。,N/A,,
武吉班让单选区 Bukit Panjang SMC,/home/ubuntu/singapore_book/images/bukit_panjang_smc.jpg,武吉班让单选区，拥有自然步道和夜光步道，是新加坡一个充满绿意的住宅区。,https://thesmartlocal.com/read/bukit-panjang-perks/,,
裕廊中单选区 Jurong Central SMC,/home/ubuntu/singapore_book/images/jurong_central.jpg,裕廊西中央1号的组屋建筑，代表了裕廊中单选区的住宅特色。,https://www.srx.com.sg/hdb/jurong-west/jurong-west-central-1-hsjur0053/last-transacted-prices/sale/hdb-executive,,
先驱单选区 Pioneer SMC,/home/ubuntu/singapore_book/images/pioneer_smc.jpg,新加坡先驱单选区的先驱购物中心。,,true,
